name,roaster,roaster_city,roaster_country_state,roaster_country,origin,origin_count,origin_country,review_date,est_price,rating,roast,agtron,agtron_grounds,agtron_bean,aroma,acid,body,flavor,aftertaste,with_milk,desc_1,desc_2,desc_3,desc
“Sweety” Espresso Blend,A.R.C.,Hong Kong,Hong Kong,Hong Kong,Panama; Ethiopia,2,Ethiopia; Panama,November 2017,HKD $250/227 grams,95,Medium-Light,50/73,50,73,9.0,0.0,9.0,9.0,9.0,9.0,"Evaluated as espresso. Sweet-toned, deeply rich, chocolaty. Vanilla paste, dark chocolate, narcissus, pink grapefruit zest, black cherry in aroma and cup. Plush, syrupy mouthfeel; resonant, flavor-saturated finish. In three parts milk, rich chocolate tones intensify, along with intimations of vanilla paste and black cherry in the short finish and floral-toned citrus zest in the long. ","An espresso blend comprised of coffees from Panama and Ethiopia. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","A radiant espresso blend that shines equally in the straight shot and in milk, alive with notes of rich dark chocolate and black cherry.","Evaluated as espresso. Sweet-toned, deeply rich, chocolaty. Vanilla paste, dark chocolate, narcissus, pink grapefruit zest, black cherry in aroma and cup. Plush, syrupy mouthfeel; resonant, flavor-saturated finish. In three parts milk, rich chocolate tones intensify, along with intimations of vanilla paste and black cherry in the short finish and floral-toned citrus zest in the long.  A radiant espresso blend that shines equally in the straight shot and in milk, alive with notes of rich dark chocolate and black cherry."
Flora Blend Espresso,A.R.C.,Hong Kong,Hong Kong,Hong Kong,Africa; Asia Pacific,2,Africa; Asia Pacific,November 2017,HKD $158/227 grams,94,Medium-Light,54/77,54,77,9.0,0.0,9.0,9.0,8.0,9.0,"Evaluated as espresso. Sweetly tart, floral-toned. Honeysuckle, oak, dried apricot, dark chocolate, thyme in aroma and small cup. Delicately syrupy body; gently drying, floral-driven finish in the short and sweetly herb-toned in the long. In three parts milk, chocolate, florals and fruit all take center stage, and thyme-like herb notes gently follow.","An espresso blend comprised of coffees from Africa and the Asia-Pacific. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","A floral-driven straight shot, amplified with notes of stone fruit and chocolate in cappuccino-scaled milk.","Evaluated as espresso. Sweetly tart, floral-toned. Honeysuckle, oak, dried apricot, dark chocolate, thyme in aroma and small cup. Delicately syrupy body; gently drying, floral-driven finish in the short and sweetly herb-toned in the long. In three parts milk, chocolate, florals and fruit all take center stage, and thyme-like herb notes gently follow. A floral-driven straight shot, amplified with notes of stone fruit and chocolate in cappuccino-scaled milk."
Ethiopia Shakiso Mormora,Revel Coffee,Billings,Montana,United States,"Guji Zone, southern Ethiopia",1,Ethiopia,November 2017,$16.00/12 ounces,92,Medium-Light,54/70,54,70,9.0,8.0,8.0,9.0,8.0,0.0,"Crisply sweet, cocoa-toned. Lemon blossom, roasted cacao nib, date, rice candy, white peppercorn in aroma and cup. Savory-tart structure; delicate, silky mouthfeel. The richly drying finish leads with cocoa-toned, crisply sweet floral notes in the short and a hint of spice (white peppercorn) in the long.","This coffee tied for the third-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. When processed by the wet or washed method (fruit skin and pulp are removed before drying) they typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Revel Coffee is a micro-roaster located in Billings, Montana. Its motto: “Quality is paramount — a difference you can revel in.” Visit www.revelcoffee.com or call 406-534-9621 for more information.","A gently spice-toned, floral- driven wet-processed Ethiopia cup with pleasing notes of cocoa throughout.","Crisply sweet, cocoa-toned. Lemon blossom, roasted cacao nib, date, rice candy, white peppercorn in aroma and cup. Savory-tart structure; delicate, silky mouthfeel. The richly drying finish leads with cocoa-toned, crisply sweet floral notes in the short and a hint of spice (white peppercorn) in the long. A gently spice-toned, floral- driven wet-processed Ethiopia cup with pleasing notes of cocoa throughout."
Ethiopia Suke Quto,Roast House,Spokane,Washington,United States,"Guji Zone, Oromia Region, south-central Ethiopia",1,Ethiopia,November 2017,$19.00/16 ounces,92,Medium-Light,53/79,53,79,8.0,8.0,9.0,9.0,8.0,0.0,"Delicate, sweetly spice-toned. Pink peppercorn, date, myrrh, lavender, roasted cacao nib in aroma and cup. Crisp, spice-toned structure with citrus-like acidity; satiny, very smooth mouthfeel. The crisply sweet finish centers around spice and pungent floral notes.","This coffee tied for the third-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. When processed by the wet or washed method (fruit skin and pulp are removed before drying) they typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Like virtually all southern Ethiopia coffees, this one is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Roast House is a small-batch, quality-focused roaster specializing in farm-direct organic-certified and Fair Trade Certified coffees. Visit roasthousecoffee.com or call 509-995-6500 for more information.",Lavender-like flowers and hints of zesty pink peppercorn animate this crisply sweet wet-processed Ethiopia cup.,"Delicate, sweetly spice-toned. Pink peppercorn, date, myrrh, lavender, roasted cacao nib in aroma and cup. Crisp, spice-toned structure with citrus-like acidity; satiny, very smooth mouthfeel. The crisply sweet finish centers around spice and pungent floral notes. Lavender-like flowers and hints of zesty pink peppercorn animate this crisply sweet wet-processed Ethiopia cup."
Ethiopia Gedeb Halo Beriti,Big Creek Coffee Roasters,Hamilton,Montana,United States,"Gedeb District, Gedeo Zone, southern Ethiopia",1,Ethiopia,November 2017,$16.50/12 ounces,94,Medium,48/70,48,70,9.0,9.0,9.0,9.0,8.0,0.0,"Deeply sweet, subtly pungent. Honey, pear, tangerine zest, dark chocolate, pistachio in aroma and cup. Sweet and juicy yet crisp in structure (think ripe pear); plush and buoyant in mouthfeel. Resonant and flavor saturated in the short finish; simplifies around hints of tangerine and pistachio in the long.","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. Processed by the wet or washed method (fruit skin and pulp are removed before drying). This coffee tied for the highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Big Creek Coffee Roasters is a small, quality-oriented batch roaster located in Montana’s Bitterroot Valley. Visit www.bigcreekcoffeeroasters.com or call 406-375-7508 for more information.","A deeply and generously lush cup saved from sentimentality by a crisp, incense-like, slightly savory edge. Very wide range of aromatics.","Deeply sweet, subtly pungent. Honey, pear, tangerine zest, dark chocolate, pistachio in aroma and cup. Sweet and juicy yet crisp in structure (think ripe pear); plush and buoyant in mouthfeel. Resonant and flavor saturated in the short finish; simplifies around hints of tangerine and pistachio in the long. A deeply and generously lush cup saved from sentimentality by a crisp, incense-like, slightly savory edge. Very wide range of aromatics."
Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,Floyd,Virginia,United States,"Odo Shakiso District, Guji Zone, southern Ethiopia",1,Ethiopia,November 2017,$17.49/12 ounces,93,Light,66/92,66,92,9.0,8.0,9.0,9.0,8.0,0.0,"Delicate, richly and sweetly tart. Dried hibiscus, fine musk, almond, sandalwood, raspberry in aroma and cup. Fruit-toned, deeply sweet structure with gently-expressed acidity; buoyant, satiny-smooth mouthfeel. The crisp, flavor-saturated finish is characterized by sweet-tart fruit and floral tones (raspberry, hibiscus).","This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Certified USDA organic. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.","A lively and crisply sweet, fruit-forward natural-processed Ethiopia cup.","Delicate, richly and sweetly tart. Dried hibiscus, fine musk, almond, sandalwood, raspberry in aroma and cup. Fruit-toned, deeply sweet structure with gently-expressed acidity; buoyant, satiny-smooth mouthfeel. The crisp, flavor-saturated finish is characterized by sweet-tart fruit and floral tones (raspberry, hibiscus). A lively and crisply sweet, fruit-forward natural-processed Ethiopia cup."
Ethiopia Gelgelu Natural Organic,Willoughby's Coffee & Tea,Branford,Connecticut,United States,"Yirgacheffe growing region, southern Ethiopia",1,Ethiopia,November 2017,$17.99/16 ounces,93,Medium-Light,54/75,54,75,9.0,8.0,9.0,9.0,8.0,0.0,"High-toned, floral. Dried apricot, magnolia, almond butter, maple syrup, cherry brandy in aroma and cup. Crisp, sweetly-tart in structure; plush, syrupy mouthfeel. Notes of magnolia and dried apricot dominate in the flavor-laden short finish, with hints of almond butter and fruit brandy in the long.","This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” Yirgacheffe, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Certified USDA organic. Willoughby’s Coffee & Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.","A deeply sweet natural-processed Ethiopia cup, with stone fruit and brandy notes as parallel throughlines.","High-toned, floral. Dried apricot, magnolia, almond butter, maple syrup, cherry brandy in aroma and cup. Crisp, sweetly-tart in structure; plush, syrupy mouthfeel. Notes of magnolia and dried apricot dominate in the flavor-laden short finish, with hints of almond butter and fruit brandy in the long. A deeply sweet natural-processed Ethiopia cup, with stone fruit and brandy notes as parallel throughlines."
Ethiopia Hambela Alaka,Black Oak Coffee Roasters,Ukiah,California,United States,"Hambela Wamena District, Guji Zone, Oromia Region, southern Ethiopia",1,Ethiopia,November 2017,$17.50/12 ounces,93,Medium-Light,58/80,58,80,9.0,8.0,9.0,9.0,8.0,0.0,"Very delicate, sweetly savory. Lemon verbena, allspice, dried persimmon, dogwood, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; velvety-smooth mouthfeel. The sweetly herb-toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker’s chocolate.","This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia produces distinctive coffees from traditional varieties of Arabica long grown in the region. This lot was processed by the wet or washed method (fruit skin and pulp are removed before drying). Certified USDA organic. Artisan coffee-roasters in the northern California town of Ukiah, Black Oak’s mission is to bring to life each carefully selected coffee’s unique origins. For more information, visit www.blackoakcoffee.com.","A delicate, richly sweet wet-processed Ethiopia: spice, herb, fruit and flowers in intricate balance.","Very delicate, sweetly savory. Lemon verbena, allspice, dried persimmon, dogwood, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; velvety-smooth mouthfeel. The sweetly herb-toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker’s chocolate. A delicate, richly sweet wet-processed Ethiopia: spice, herb, fruit and flowers in intricate balance."
Organic Ethiopia Kirite,Wonderstate Coffee,Driftless,Wisconsin,United States,"Hambela District, Guji Zone, Oromia Region, southern Ethiopia",1,Ethiopia,November 2017,$18.00/12 ounces,93,Medium-Light,58/81,58,81,9.0,9.0,8.0,9.0,8.0,0.0,"High-toned, crisply sweet. Lemon blossom, apricot, frankincense, spearmint, roasted cacao nib in aroma and cup. Balanced, complete sweet-savory structure; satiny, full mouthfeel. Sweet spearmint notes carry the cocoa-toned finish, with hints of lemon blossom and apricot.","This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Produced by the METAD farm and mill in southern Ethiopia. Southern Ethiopia produces distinctive coffees from traditional varieties of Arabica long grown in the region. Coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Ceritifed USDA organic. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com for more information.","An inviting wet-processed Ethiopia cup. Invokes a walk through a citrus orchard in spring, with a bonus of sweet herb and cocoa tones.","High-toned, crisply sweet. Lemon blossom, apricot, frankincense, spearmint, roasted cacao nib in aroma and cup. Balanced, complete sweet-savory structure; satiny, full mouthfeel. Sweet spearmint notes carry the cocoa-toned finish, with hints of lemon blossom and apricot. An inviting wet-processed Ethiopia cup. Invokes a walk through a citrus orchard in spring, with a bonus of sweet herb and cocoa tones."
Ethiopia Sidama,Reunion Island Coffee,Oakville, Ontario,Canada,"Sidama (also Sidamo) growing region, southern Ethiopia",1,Ethiopia,November 2017,CAD $17.00/12 ounces,94,Medium,47/72,47,72,9.0,9.0,9.0,9.0,8.0,0.0,"Balanced, sweet-savory. Red currant, roasted cacao nib, clove, blood orange zest, frankincense in aroma and cup. Savory-sweet structure with lively acidity; syrupy mouthfeel. The resonant, spice-toned finish leads with intimations of clove and roasted cacao nib in the short, rounding to rich fruit tones with hints of frankincense in the long.","This exceptional coffee was selected as the No. 17 coffee on Coffee Review’s list of the Top 30 Coffees of 2017.  This coffee also tied for the highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This lot was processed by the wet or washed method (fruit skin and pulp are removed before drying). Organic and Fair Trade certified, the latter meaning they were purchased from small-holding farmers at a “fair” or economically sustainable price. Reunion Island Coffee is a quality-oriented roasting company founded by Canadian specialty coffee veteran Peter Pesce. Visit www.reunionislandcoffee.com or call 800-565-5950 for more information.","An elegantly expressive, fruit-forward but savory-leaning Ethiopia cup.","Balanced, sweet-savory. Red currant, roasted cacao nib, clove, blood orange zest, frankincense in aroma and cup. Savory-sweet structure with lively acidity; syrupy mouthfeel. The resonant, spice-toned finish leads with intimations of clove and roasted cacao nib in the short, rounding to rich fruit tones with hints of frankincense in the long. An elegantly expressive, fruit-forward but savory-leaning Ethiopia cup."
